ticker,name,quote_type,category,fund_family,total_assets,expense_ratio,currency,exchange,average_volume,last_price,trailing_pe,forward_pe,price_to_book,portfolio_pe,portfolio_price_to_book,return_on_equity,dividend_yield,top_10_concentration,metadata_available
AGG,iShares Core U.S. Aggregate Bond ETF,ETF,Intermediate Core Bond,iShares,138698178560,0.03,USD,PCX,10031775,98.9000015258789,126.147964,,0.85704875,,,,3.93,0.0304788,True
BIV,Vanguard Intermediate-Term Bond Index Fund,ETF,Intermediate Core Bond,Vanguard,51797950464,0.03,USD,PCX,2141431,76.81999969482422,,,,,,,4.1,,True
BND,Vanguard Total Bond Market Index Fund,ETF,Intermediate Core Bond,Vanguard,387461611520,0.03,USD,NGM,8570653,73.36000061035156,,,,,,,3.91,,True
DGRO,iShares Core Dividend Growth ETF,ETF,Large Value,iShares,37549682688,0.08,USD,PCX,2392710,73.43000030517578,23.240993,,,22.21235006663705,3.5844863431070326,,2.1,0.263667799,True
DVY,iShares Select Dividend ETF,ETF,Mid-Cap Value,iShares,22291916800,0.38,USD,NGM,438560,154.6300048828125,15.565585,,1.3063055,15.239256324291375,1.7869587748610638,,3.46,0.184984899,True
FTEC,Fidelity MSCI Information Technology Index ETF,ETF,Technology,Fidelity Investments,15053115392,0.084,USD,PCX,442801,250.1999969482422,37.462296,,,31.152647975077883,7.978935609989628,,0.46,0.589383105,True
GOVT,iShares U.S. Treasury Bond ETF,ETF,Intermediate Government,iShares,40681287680,0.05,USD,BTS,11734918,22.780000686645508,,,,,,,3.53,,True
HDV,iShares Core High Dividend ETF,ETF,Large Value,iShares,13547995136,0.08,USD,PCX,3801011,27.34000015258789,4.4041133,,,21.862702229995627,3.5770496494491346,,2.92,0.525201001,True
HYG,iShares iBoxx $ High Yield Corporate Bond ETF,ETF,High Yield Bond,iShares,16378809344,0.49,USD,PCX,54764675,80.05999755859375,11.00834,1334.3334,0.9101243,,,,5.88,0.0104704,True
HYLB,Xtrackers USD High Yield Corporate Bond ETF,ETF,High Yield Bond,Xtrackers,3126557696,0.05,USD,PCX,2033568,36.56999969482422,,,,,,,6.39,,True
IEF,iShares 7-10 Year Treasury Bond ETF,ETF,Long Government,iShares,48925843456,0.15,USD,NGM,10363580,94.73999786376953,,,0.80865157,,,,3.82,,True
IEI,iShares 3-7 Year Treasury Bond ETF,ETF,Intermediate Government,iShares,18661527552,0.15,USD,NGM,2272833,117.91000366210938,,,,,,,3.55,,True
IGSB,iShares 1-5 Year Investment Grade Corporate Bond ETF,ETF,Short-Term Bond,iShares,21914433536,0.04,USD,NGM,3725893,52.380001068115234,,,,,,,4.51,,True
IUSB,iShares Core Universal USD Bond ETF,ETF,Intermediate Core-Plus Bond,iShares,36142247936,0.06,USD,NGM,3401143,46.09000015258789,10.9509945,,,,,,4.23,0.0274063,True
